COUNTRY,SEX,YEAR,ACTIVITY_VAL,AGE,OBESITY_VAL
HRV,MALE,2005,20.0,15,19.0
HRV,FEMALE,2005,10.0,15,10.0
CZE,MALE,2009,24.8,15,19.0995907230559
CZE,FEMALE,2009,14.3,15,9.89159891598916
CZE,MALE,2005,27.0,15,14.0
CZE,FEMALE,2005,16.0,15,9.0
DNK,MALE,2009,14.4,15,10.0185528756957
DNK,FEMALE,2009,7.7,15,7.90774299835255
DNK,MALE,2005,20.0,15,13.0
DNK,FEMALE,2005,16.0,15,9.0
EST,MALE,2009,13.4,15,15.5322862129145
EST,FEMALE,2009,9.3,15,8.8
EST,MALE,2005,18.0,15,11.0
EST,FEMALE,2005,9.0,15,5.0
FIN,MALE,2009,17.2,15,17.2661870503597
FIN,FEMALE,2009,10.3,15,10.792741165234
FIN,MALE,2005,15.0,15,19.0
FIN,FEMALE,2005,9.0,15,12.0
FRA,MALE,2009,13.8,15,12.3501199040767
FRA,FEMALE,2009,5.6,15,6.90423162583519
FRA,MALE,2005,14.0,15,14.0
FRA,FEMALE,2005,5.0,15,8.0
DEU,MALE,2009,13.4,15,18.1818181818182
DEU,FEMALE,2009,8.6,15,10.4922279792746
DEU,MALE,2005,16.0,15,16.0
DEU,FEMALE,2005,10.0,15,11.0
GRC,MALE,2009,18.3,15,27.9901356350185
GRC,FEMALE,2009,5.2,15,12.5495376486129
GRC,MALE,2005,16.0,15,25.0
GRC,FEMALE,2005,7.0,15,11.0
GRL,MALE,2009,25.4,15,17.4311926605505
GRL,FEMALE,2009,19.5,15,14.1666666666667
HUN,MALE,2009,21.0,15,19.2135854862581
HUN,FEMALE,2009,8.6,15,10.6735845353228
HUN,MALE,2005,19.0,15,17.0
HUN,FEMALE,2005,11.0,15,11.0
ISL,MALE,2009,15.2,15,20.4599056603774
ISL,FEMALE,2009,9.1,15,12.9089827483641
IRL,MALE,2009,28.1,15,16.0164271047228
IRL,FEMALE,2009,11.6,15,11.71875
IRL,MALE,2005,27.0,15,15.0
IRL,FEMALE,2005,13.0,15,10.0
ITA,MALE,2009,11.5,15,22.1757322175732
ITA,FEMALE,2009,4.9,15,11.0181311018131
ITA,MALE,2005,16.0,15,23.0
ITA,FEMALE,2005,7.0,15,10.0
LVA,MALE,2009,22.2,15,12.8367670364501
LVA,FEMALE,2009,12.6,15,7.27802037845706
LVA,MALE,2005,26.0,15,8.0
LVA,FEMALE,2005,16.0,15,6.0
LTU,MALE,2009,18.1,15,13.2956152758133
LTU,FEMALE,2009,10.9,15,4.58970792767733
LTU,MALE,2005,19.0,15,8.0
LTU,FEMALE,2005,13.0,15,4.0
LUX,MALE,2009,24.4,15,21.6049382716049
LUX,FEMALE,2009,13.0,15,11.6013071895425
LUX,MALE,2005,19.0,15,16.0
LUX,FEMALE,2005,11.0,15,9.0
MKD,MALE,2009,22.1,15,20.8791208791209
MKD,FEMALE,2009,13.0,15,6.2992125984252
MKD,MALE,2005,21.0,15,19.0
MKD,FEMALE,2005,11.0,15,7.0
MLT,MALE,2005,19.0,15,32.0
MLT,FEMALE,2005,13.0,15,28.0
NLD,MALE,2009,18.7,15,10.7259622116298
